protein	frequency
NP_001293059.1	727
NP_001293060.1	718
NP_001293061.1	710
NP_001293062.1	174
NP_001293063.1	121
NP_001293064.1	31
NP_001293066.1	174
NP_001293069.1	81
NP_001293071.1	10
NP_001293073.1	90
NP_001293075.1	204
NP_001293076.1	85
NP_001293078.1	50
NP_001293080.1	42
NP_001293084.1	134
NP_001293097.1	78
NP_001293100.1	147
NP_001293101.1	147
NP_001293102.1	173
NP_001293106.1	115
NP_001293108.1	202
NP_001293117.1	22
NP_001293119.1	89
NP_001293120.1	32
NP_001293122.1	132
NP_001293124.1	31
NP_001293125.1	32
NP_001293126.1	39
NP_001293127.1	25
NP_001293128.1	87
NP_001293130.1	29
NP_001293136.1	86
NP_001293137.1	79
NP_001293138.1	52
NP_001293139.1	82
NP_001293141.1	298
NP_001293142.1	298
NP_001293143.1	298
NP_001293144.1	315
NP_001293149.1	127
NP_001294.2	156
NP_001294851.1	27
NP_001294852.1	159
NP_001294853.1	67
NP_001294854.1	230
NP_001294857.1	183
NP_001294858.1	38
NP_001294859.1	93
NP_001294860.1	56
NP_001294865.1	113
NP_001294866.1	61
NP_001294868.1	117
NP_001294869.1	121
NP_001294872.1	266
NP_001294880.1	124
NP_001294881.1	199
NP_001294904.1	116
NP_001294905.1	290
NP_001294906.1	116
NP_001294907.1	102
NP_001294909.1	123
NP_001294910.1	123
NP_001294912.1	110
NP_001294914.1	178
NP_001294915.1	121
NP_001294916.1	110
NP_001294919.1	241
NP_001294923.1	146
NP_001294931.1	35
NP_001294935.1	155
NP_001294936.1	75
NP_001294943.1	174
NP_001294947.1	90
NP_001294948.1	736
NP_001294951.1	703
NP_001294954.1	786
NP_001294956.1	100
NP_001294957.1	176
NP_001294960.1	106
NP_001294965.1	21
NP_001294967.1	33
NP_001294971.1	86
NP_001294973.1	126
NP_001294974.1	185
NP_001294975.1	516
NP_001294976.1	1073
NP_001294977.1	1074
NP_001294978.1	90
NP_001294979.1	92
NP_001294980.1	90
NP_001294982.1	92
NP_001294985.1	75
NP_001294986.1	57
NP_001294987.1	57
NP_001294988.1	49
NP_001294989.1	48
NP_001294990.1	49
NP_001294996.1	86
NP_001294997.1	437
NP_001295.2	346
NP_001295004.1	104
NP_001295005.1	151
NP_001295006.1	144
NP_001295007.1	128
NP_001295008.1	132
NP_001295009.1	85
NP_001295012.1	79
NP_001295013.1	67
NP_001295016.1	102
NP_001295017.1	102
NP_001295018.1	297
NP_001295019.1	248
NP_001295022.1	101
NP_001295025.1	146
NP_001295026.1	150
NP_001295029.1	297
NP_001295030.1	33
NP_001295031.1	133
NP_001295032.1	28
NP_001295034.1	269
NP_001295035.1	153
NP_001295036.1	153
NP_001295037.1	168
NP_001295038.1	145
NP_001295039.1	105
NP_001295043.1	89
NP_001295044.1	87
NP_001295045.1	261
NP_001295048.1	209
NP_001295050.1	209
NP_001295051.1	227
NP_001295052.1	58
NP_001295055.1	343
NP_001295056.1	46
NP_001295057.1	37
NP_001295058.1	30
NP_001295059.1	28
NP_001295062.1	718
NP_001295063.1	253
NP_001295065.1	45
NP_001295068.1	21
NP_001295071.1	357
NP_001295072.1	226
NP_001295076.1	504
NP_001295079.1	113
NP_001295080.1	72
NP_001295081.1	670
NP_001295082.1	702
NP_001295083.1	53
NP_001295085.1	164
NP_001295087.1	49
NP_001295088.1	49
NP_001295089.1	682
NP_001295090.1	323
NP_001295091.1	158
NP_001295092.1	149
NP_001295093.1	233
NP_001295094.1	124
NP_001295095.1	194
NP_001295099.1	210
NP_001295100.1	251
NP_001295101.1	177
NP_001295102.1	159
NP_001295105.1	250
NP_001295106.1	23
NP_001295107.1	15
NP_001295114.1	57
NP_001295118.1	130
NP_001295119.1	60
NP_001295120.1	129
NP_001295121.1	39
NP_001295122.1	37
NP_001295124.1	251
NP_001295125.1	251
NP_001295126.1	53
NP_001295129.1	112
NP_001295130.1	109
NP_001295132.1	171
NP_001295133.1	32
NP_001295134.1	32
NP_001295136.1	327
NP_001295137.1	327
NP_001295139.1	376
NP_001295140.1	201
NP_001295142.1	61
NP_001295143.1	53
NP_001295146.1	91
NP_001295148.1	30
NP_001295149.2	374
NP_001295151.1	78
NP_001295152.1	21
NP_001295154.1	291
NP_001295158.1	84
NP_001295161.1	86
NP_001295163.1	190
NP_001295164.1	195
NP_001295165.1	195
NP_001295166.1	104
NP_001295167.1	85
NP_001295171.1	68
NP_001295172.1	56
NP_001295173.1	43
NP_001295174.1	127
NP_001295177.1	254
NP_001295180.1	201
NP_001295182.1	52
NP_001295185.1	107
NP_001295186.1	53
NP_001295187.1	273
NP_001295188.1	129
NP_001295191.1	78
NP_001295192.1	133
NP_001295193.1	129
NP_001295196.1	401
NP_001295197.1	444
NP_001295198.1	96
NP_001295202.1	115
NP_001295203.1	80
NP_001295204.1	47
NP_001295205.1	92
NP_001295210.1	354
NP_001295221.1	64
NP_001295222.1	266
NP_001295223.1	122
NP_001295224.1	137
NP_001295226.1	251
NP_001295230.1	170
NP_001295241.1	222
NP_001295242.1	66
NP_001295245.1	70
NP_001295246.1	236
NP_001295248.1	657
NP_001295249.1	159
NP_001295254.1	62
NP_001295255.1	36
NP_001295262.1	135
NP_001295268.1	236
NP_001295270.1	74
NP_001295275.1	262
NP_001295276.1	91
NP_001295277.1	260
NP_001295279.1	345
NP_001295280.1	256
NP_001295284.1	256
NP_001295286.1	256
NP_001295287.1	91
NP_001295289.1	182
NP_001295292.1	382
NP_001295295.1	71
NP_001295299.1	257
NP_001295302.1	106
NP_001295304.1	352
NP_001295308.1	161
NP_001295309.1	72
NP_001295311.1	130
NP_001295317.1	124
NP_001295321.1	205
NP_001295324.1	59
NP_001295325.1	48
NP_001295327.1	243
NP_001295331.1	151
NP_001295347.1	183
NP_001295348.1	35
NP_001295349.1	160
NP_001295355.1	65
NP_001295356.1	65
NP_001295357.1	65
NP_001295358.1	125
NP_001295360.1	55
NP_001295362.1	55
NP_001295364.1	39
NP_001295369.1	124
NP_001295394.1	125
NP_001295396.1	125
NP_001295397.1	125
NP_001295398.1	125
NP_001295399.1	125
NP_001295400.1	125
NP_001295405.1	125
NP_001295420.1	14
NP_001295883.1	177
NP_001296.1	91
NP_001296122.1	337
NP_001296171.1	303
NP_001296360.1	36
NP_001296372.1	90
NP_001296373.1	105
NP_001296377.1	67
NP_001296379.1	60
NP_001296380.1	66
NP_001296381.1	67
NP_001296445.1	195
NP_001296790.1	21
NP_001297.1	74
NP_001297052.1	264
NP_001297053.1	44
NP_001297063.1	20
NP_001297065.1	7
NP_001297084.1	5
NP_001297088.1	62
NP_001297090.1	49
NP_001297143.1	330
NP_001297148.1	36
NP_001297149.1	58
NP_001297244.1	6
NP_001297248.1	144
NP_001297249.1	169
NP_001297250.1	115
NP_001297255.1	43
NP_001297261.1	290
NP_001297267.1	125
NP_001297268.1	79
NP_001298.3	68
NP_001298089.1	51
NP_001298091.1	51
NP_001298097.1	65
NP_001298104.1	72
NP_001298107.1	81
NP_001298108.1	69
NP_001298111.1	107
NP_001298122.1	136
NP_001298124.1	119
NP_001298125.1	157
NP_001298126.1	46
NP_001298127.1	24
NP_001298128.1	50
NP_001298129.1	44
NP_001298130.1	36
NP_001298131.1	31
NP_001298186.1	164
NP_001298240.1	55
NP_001298242.1	92
NP_001299.1	157
NP_001299582.1	16
NP_001299583.1	119
NP_001299585.1	151
NP_001299589.1	59
NP_001299601.1	54
NP_001299602.1	121
NP_001299603.1	140
NP_001299604.1	115
NP_001299615.1	316
NP_001299618.1	255
NP_001299620.1	151
NP_001299621.1	126
NP_001299800.1	45
NP_001299820.1	73
NP_001299838.1	256
NP_001299839.1	256
NP_001299840.1	256
NP_001299848.1	32
NP_001299849.1	58
NP_001299850.1	58
NP_001300655.1	241
NP_001300656.1	192
NP_001300670.1	271
NP_001300787.1	44
NP_001300821.1	18
NP_001300822.1	18
NP_001300825.1	172
NP_001300829.1	173
NP_001300830.1	173
NP_001300834.1	58
NP_001300842.1	61
NP_001300870.1	5
NP_001300879.1	130
NP_001300880.1	107
NP_001300881.1	109
NP_001300882.1	125
NP_001300883.1	69
NP_001300884.1	59
NP_001300888.1	475
NP_001300889.1	310
NP_001300893.1	106
NP_001300894.1	213
NP_001300895.1	142
NP_001300901.1	142
NP_001300911.1	172
NP_001300919.1	48
NP_001300921.1	44
NP_001300922.1	44
NP_001300923.1	192
NP_001300927.1	106
NP_001300928.1	86
NP_001300929.1	68
NP_001300947.1	74
NP_001300948.1	67
NP_001300949.1	67
NP_001300950.1	600
NP_001300951.1	35
NP_001300952.1	42
NP_001300953.1	23
NP_001300954.1	54
NP_001300955.1	44
NP_001300959.1	256
NP_001300962.1	266
NP_001300971.1	441
NP_001300973.1	116
NP_001300974.1	116
NP_001300975.1	115
NP_001300976.1	115
NP_001300977.1	99
NP_001300978.1	122
NP_001300980.1	59
NP_001300981.1	182
NP_001300986.1	55
NP_001300988.1	230
NP_001300992.1	165
NP_001301.1	19
NP_001301006.1	204
NP_001302.1	37
NP_001302420.1	77
NP_001302430.1	181
NP_001302431.1	152
NP_001302435.1	84
NP_001302437.1	838
NP_001302458.1	1442
NP_001302459.1	26
NP_001302460.1	26
NP_001302461.1	36
NP_001302462.1	145
NP_001302463.1	106
NP_001302464.1	85
NP_001302465.1	82
NP_001302466.1	98
NP_001303.1	57
NP_001303235.1	254
NP_001303238.1	183
NP_001303240.1	22
NP_001303241.1	43
NP_001303242.1	288
NP_001303243.1	318
NP_001303247.1	142
NP_001303249.1	324
NP_001303250.1	296
NP_001303254.1	46
NP_001303256.1	139
NP_001303258.1	130
NP_001303261.1	139
NP_001303266.1	168
NP_001303270.1	75
NP_001303279.1	181
NP_001303283.1	54
NP_001303284.1	65
NP_001303285.1	66
NP_001303286.1	62
NP_001303287.1	62
NP_001303303.1	84
NP_001303597.1	484
NP_001303605.1	218
NP_001303606.1	216
NP_001303619.1	304
NP_001303696.1	83
NP_001303701.1	182
NP_001303816.1	49
NP_001303817.1	49
NP_001303818.1	49
NP_001303826.1	96
NP_001303827.1	96
NP_001303829.1	84
NP_001303831.1	53
NP_001303832.1	35
NP_001303848.1	15
NP_001303849.1	15
NP_001303850.1	15
NP_001303851.1	15
NP_001303852.1	15
NP_001303853.1	21
NP_001303864.1	49
NP_001303865.1	123
NP_001303866.1	120
NP_001303867.1	120
NP_001303868.1	120
NP_001303869.1	120
NP_001303870.1	120
NP_001303871.1	120
NP_001303872.1	129
NP_001303873.1	75
NP_001303880.1	116
NP_001303881.1	71
NP_001303886.1	38
NP_001303889.1	52
NP_001303890.1	52
NP_001303891.1	52
NP_001303892.1	52
NP_001303893.1	107
NP_001303894.1	69
NP_001303896.1	125
NP_001303897.1	52
NP_001303898.1	52
NP_001303902.1	50
NP_001303903.1	51
NP_001303907.1	196
NP_001303908.1	196
NP_001303909.1	196
NP_001303910.1	196
NP_001303911.1	196
NP_001303912.1	87
NP_001303913.1	77
NP_001303914.1	76
NP_001303915.1	73
NP_001303917.1	59
NP_001303919.1	255
NP_001303925.1	225
NP_001303926.1	207
NP_001303927.1	207
NP_001303929.1	454
NP_001303931.1	69
NP_001303932.1	65
NP_001303933.1	65
NP_001303934.1	65
NP_001303935.1	58
NP_001303936.1	50
NP_001303937.1	50
NP_001303938.1	128
NP_001303939.1	56
NP_001303941.1	198
NP_001303948.1	184
NP_001303955.1	417
NP_001303956.1	304
NP_001303957.1	304
NP_001303958.1	304
NP_001303959.1	276
NP_001303960.1	37
NP_001303962.1	34
NP_001303963.1	87
NP_001303964.1	86
NP_001303965.1	82
NP_001303966.1	351
NP_001303969.1	234
NP_001303985.1	327
NP_001303990.1	154
NP_001303991.1	97
NP_001303992.1	94
NP_001303993.1	82
NP_001304.1	165
NP_001304003.1	19
NP_001304004.1	19
NP_001304006.1	56
NP_001304007.1	39
NP_001304015.1	120
NP_001304018.1	28
NP_001304019.1	130
NP_001304020.1	120
NP_001304021.1	120
NP_001304022.1	53
NP_001304023.1	36
NP_001304024.1	39
NP_001304025.1	52
NP_001304026.1	47
NP_001304027.1	47
NP_001304028.1	102
NP_001304029.1	85
NP_001304030.1	74
NP_001304031.1	74
NP_001304032.1	19
NP_001304039.1	31
NP_001304040.1	31
NP_001304041.1	26
NP_001304042.1	109
NP_001304043.1	109
NP_001304044.1	109
NP_001304045.1	109
NP_001304046.1	109
NP_001304047.1	109
NP_001304048.1	109
NP_001304049.1	109
NP_001304050.1	109
NP_001304051.1	99
NP_001304052.1	79
NP_001304063.1	148
NP_001304064.1	145
NP_001304065.1	150
NP_001304066.1	137
NP_001304067.1	84
NP_001304085.1	124
NP_001304086.1	124
NP_001304087.1	110
NP_001304088.1	124
NP_001304089.1	110
NP_001304090.1	124
NP_001304091.1	124
NP_001304092.1	476
NP_001304101.1	119
NP_001304106.1	69
NP_001304111.1	68
NP_001304112.1	68
NP_001304113.1	248
NP_001304114.1	126
NP_001304115.1	84
NP_001304117.1	225
NP_001304121.1	85
NP_001304122.1	82
NP_001304123.1	53
NP_001304124.1	283
NP_001304125.1	303
NP_001304128.1	98
NP_001304129.1	98
NP_001304130.1	98
NP_001304131.1	98
NP_001304132.1	98
NP_001304133.1	98
NP_001304134.1	98
NP_001304135.1	98
NP_001304136.1	98
NP_001304137.1	98
NP_001304138.1	98
NP_001304139.1	98
NP_001304140.1	98
NP_001304143.1	177
NP_001304155.1	41
NP_001304156.1	242
NP_001304157.1	231
NP_001304160.1	96
NP_001304161.1	93
NP_001304162.1	51
NP_001304167.1	273
NP_001304260.1	124
NP_001304262.1	75
NP_001304263.1	43
NP_001304264.1	98
NP_001304267.1	104
NP_001304271.1	95
NP_001304272.1	32
NP_001304310.1	253
NP_001304311.1	231
NP_001304312.1	228
NP_001304324.1	76
NP_001304328.1	75
NP_001304335.1	38
NP_001304650.1	236
NP_001304653.1	74
NP_001304663.1	255
NP_001304664.1	217
NP_001304668.1	25
NP_001304671.1	39
NP_001304672.1	105
NP_001304676.1	60
NP_001304677.1	326
NP_001304697.1	52
NP_001304698.1	108
NP_001304699.1	95
NP_001304700.1	67
NP_001304703.1	62
NP_001304706.1	52
NP_001304707.1	62
NP_001304708.1	47
NP_001304709.1	62
NP_001304710.1	252
NP_001304711.1	67
NP_001304712.1	139
NP_001304713.1	243
NP_001304714.1	110
NP_001304715.1	110
NP_001304716.1	77
NP_001304717.1	59
NP_001304718.1	60
NP_001304720.1	61
NP_001304725.1	123
NP_001304728.1	231
NP_001304733.1	87
NP_001304734.1	75
NP_001304735.1	176
NP_001304736.1	80
NP_001304737.1	38
NP_001304738.1	38
NP_001304739.1	38
NP_001304740.1	38
NP_001304741.1	67
NP_001304742.1	95
NP_001304743.1	95
NP_001304744.1	8
NP_001304745.1	72
NP_001304746.1	25
NP_001304747.1	19
NP_001304753.1	60
NP_001304754.1	62
NP_001304755.1	82
NP_001304759.1	226
NP_001304765.1	45
NP_001304766.1	49
NP_001304767.1	49
NP_001304768.1	49
NP_001304770.1	42
NP_001304771.1	42
NP_001304772.1	76
NP_001304780.1	136
NP_001304785.1	1
NP_001304786.1	1
NP_001304787.1	25
NP_001304788.1	17
NP_001304789.1	105
NP_001304819.1	93
NP_001304820.1	55
NP_001304822.1	63
NP_001304823.1	37
NP_001304825.1	21
NP_001304826.1	21
NP_001304827.1	76
NP_001304829.1	74
NP_001304830.1	1
NP_001304831.1	278
NP_001304835.1	389
NP_001304836.1	246
NP_001304840.1	46
NP_001304841.1	32
NP_001304844.1	72
NP_001304845.1	88
NP_001304846.1	137
NP_001304847.1	181
NP_001304848.1	60
NP_001304849.1	60
NP_001304850.1	60
NP_001304852.1	139
NP_001304853.1	322
NP_001304858.1	372
NP_001304859.1	192
NP_001304863.1	442
NP_001304864.1	442
NP_001304870.1	179
NP_001304871.1	64
NP_001304872.1	159
NP_001304873.1	50
NP_001304876.1	114
NP_001304878.1	127
NP_001304879.1	596
NP_001304880.1	157
NP_001304881.1	542
NP_001304883.1	111
NP_001304884.1	47
NP_001304885.1	47
NP_001304886.1	38
NP_001304887.1	86
NP_001304888.1	94
NP_001304889.1	218
NP_001304890.1	172
NP_001304892.1	82
NP_001304893.1	322
NP_001304894.1	323
NP_001304904.1	77
NP_001304909.1	42
NP_001304910.1	42
NP_001304911.1	42
NP_001304913.1	244
NP_001304914.1	149
NP_001304915.1	121
NP_001304916.1	60
NP_001304919.1	91
NP_001304920.1	192
NP_001304921.1	32
NP_001304922.1	196
NP_001304923.1	196
NP_001304924.1	167
NP_001304925.1	165
NP_001304926.1	75
NP_001304927.1	231
NP_001304928.1	56
NP_001304931.1	56
NP_001304934.1	156
NP_001304935.1	84
NP_001304936.1	24
NP_001304937.1	15
NP_001304941.1	124
NP_001304942.1	109
NP_001304943.1	130
NP_001304944.1	117
NP_001304945.1	101
NP_001304946.1	88
NP_001304947.1	88
NP_001304949.1	89
NP_001304950.1	55
NP_001304951.1	130
NP_001304952.1	104
NP_001304953.1	117
NP_001304954.1	119
NP_001304955.1	117
NP_001304956.1	92
NP_001304958.1	171
NP_001304960.1	204
NP_001304967.1	168
NP_001304969.1	259
NP_001304970.1	259
NP_001304971.1	264
NP_001304972.1	38
NP_001304974.1	74
NP_001304975.1	673
NP_001304977.1	285
NP_001304978.1	116
NP_001304979.1	105
NP_001304981.1	346
NP_001304982.1	270
NP_001304983.1	46
NP_001304984.1	169
NP_001304985.1	39
NP_001304987.1	68
NP_001304988.1	72
NP_001304989.1	125
NP_001304990.1	129
NP_001304991.1	117
NP_001304992.1	111
NP_001304993.1	105
NP_001304994.1	80
NP_001304995.1	316
NP_001304996.1	78
NP_001304997.1	50
NP_001304998.1	74
NP_001305011.1	267
NP_001305012.1	248
NP_001305013.1	189
NP_001305014.1	360
NP_001305015.1	346
NP_001305016.1	206
NP_001305017.1	138
NP_001305018.1	105
NP_001305019.1	24
NP_001305020.1	35
NP_001305021.1	45
NP_001305022.1	26
NP_001305023.1	31
NP_001305027.1	161
NP_001305028.1	249
NP_001305029.1	249
NP_001305030.1	173
NP_001305032.1	144
NP_001305033.1	144
NP_001305034.1	144
NP_001305035.1	144
NP_001305036.1	144
NP_001305037.1	144
NP_001305038.1	144
NP_001305039.1	144
NP_001305040.1	144
NP_001305041.1	144
NP_001305042.1	144
NP_001305043.1	144
NP_001305044.1	144
NP_001305045.1	144
NP_001305048.1	360
NP_001305049.1	365
NP_001305050.1	69
NP_001305053.1	61
NP_001305055.1	222
NP_001305056.1	222
NP_001305058.1	64
NP_001305062.1	23
NP_001305063.1	527
NP_001305064.1	128
NP_001305065.1	135
NP_001305066.1	28
NP_001305067.1	103
NP_001305069.1	146
NP_001305070.1	146
NP_001305071.1	122
NP_001305072.1	122
NP_001305073.1	66
NP_001305075.1	164
NP_001305082.1	628
NP_001305083.1	656
NP_001305086.1	101
NP_001305087.1	102
NP_001305089.1	31
NP_001305090.1	60
NP_001305091.1	22
NP_001305092.1	201
NP_001305093.1	201
NP_001305095.1	62
NP_001305096.1	64
NP_001305097.1	34
NP_001305098.1	24
NP_001305099.1	188
NP_001305114.1	447
NP_001305115.1	57
NP_001305116.1	57
NP_001305117.1	57
NP_001305118.1	196
NP_001305120.1	371
NP_001305121.1	145
NP_001305122.1	129
NP_001305123.1	93
NP_001305127.1	56
NP_001305128.1	58
NP_001305132.1	86
NP_001305133.1	151
NP_001305134.1	73
NP_001305136.1	31
NP_001305146.1	38
NP_001305148.1	617
NP_001305150.1	46
NP_001305151.1	46
NP_001305152.1	167
NP_001305155.1	449
NP_001305156.1	70
NP_001305159.1	168
NP_001305163.1	172
NP_001305169.1	661
NP_001305171.1	148
NP_001305174.1	1033
NP_001305178.1	53
NP_001305179.1	48
NP_001305180.1	73
NP_001305181.1	101
NP_001305182.1	122
NP_001305252.1	81
NP_001305253.1	718
NP_001305254.1	296
NP_001305255.1	342
NP_001305256.1	307
NP_001305257.1	247
NP_001305259.1	67
NP_001305260.1	71
NP_001305261.1	84
NP_001305263.1	323
NP_001305265.1	278
NP_001305266.1	281
NP_001305267.1	241
NP_001305268.1	263
NP_001305288.1	565
NP_001305289.1	440
NP_001305290.1	160
NP_001305291.1	60
NP_001305292.1	51
NP_001305293.1	47
NP_001305294.1	36
NP_001305295.1	36
NP_001305296.1	50
NP_001305297.1	45
NP_001305298.1	202
NP_001305299.1	73
NP_001305300.1	72
NP_001305301.1	320
NP_001305302.1	302
NP_001305313.1	35
NP_001305314.1	35
NP_001305315.1	35
NP_001305324.1	67
NP_001305327.1	156
NP_001305328.1	91
NP_001305396.1	91
NP_001305397.1	43
NP_001305398.1	145
NP_001305399.1	43
NP_001305400.1	136
NP_001305401.1	136
NP_001305402.1	133
NP_001305403.1	133
NP_001305404.1	28
NP_001305405.1	28
NP_001305406.1	135
NP_001305407.1	135
NP_001305408.1	135
NP_001305409.1	720
NP_001305410.1	173
NP_001305412.1	87
NP_001305413.1	166
NP_001305415.1	40
NP_001305417.1	52
NP_001305418.1	42
NP_001305419.1	47
NP_001305420.1	276
NP_001305421.1	33
NP_001305422.1	284
NP_001305423.1	30
NP_001305424.1	71
NP_001305425.1	88
NP_001305426.1	151
NP_001305427.1	46
NP_001305428.1	59
NP_001305429.1	22
NP_001305431.1	195
NP_001305432.1	61
NP_001305433.1	53
NP_001305434.1	65
NP_001305435.1	95
NP_001305436.1	385
NP_001305438.1	87
NP_001305439.1	80
NP_001305441.1	74
NP_001305442.1	331
NP_001305443.1	68
NP_001305444.1	29
NP_001305445.1	70
NP_001305448.1	70
NP_001305449.1	457
NP_001305451.1	131
NP_001305452.1	81
NP_001305453.1	73
NP_001305454.1	70
NP_001305455.1	59
NP_001305456.1	53
NP_001305457.1	49
NP_001305458.1	50
NP_001305459.1	49
NP_001305460.1	217
NP_001305461.1	50
NP_001305462.1	263
NP_001305463.1	195
NP_001305465.1	88
NP_001305466.1	88
NP_001305467.1	88
NP_001305468.1	28
NP_001305636.1	145
NP_001305637.1	133
NP_001305638.1	173
NP_001305639.1	236
NP_001305640.1	216
NP_001305641.1	207
NP_001305642.1	196
NP_001305643.1	197
NP_001305644.1	197
NP_001305645.1	171
NP_001305646.1	172
NP_001305647.1	171
NP_001305648.1	169
NP_001305649.1	169
NP_001305650.1	162
NP_001305651.1	162
NP_001305652.1	162
NP_001305653.1	162
NP_001305654.1	162
NP_001305655.1	323
NP_001305656.1	323
NP_001305657.1	323
NP_001305659.1	321
NP_001305660.1	288
NP_001305661.1	101
NP_001305662.1	132
NP_001305663.1	181
NP_001305665.1	201
NP_001305666.1	130
NP_001305667.1	127
NP_001305674.1	195
NP_001305675.1	101
NP_001305676.1	98
NP_001305677.1	98
NP_001305678.1	98
